report_id,reference_type,reference_id,flag_status,flag_type,rating
rpt_74151,listing_id,lst_290873,investigating,pricing_dispute,
rpt_84895,listing_id,lst_720227,resolved,no_show,
rpt_56655,booking_id,bkg_606847,resolved,safety_concern,
rpt_20341,listing_id,lst_343432,investigating,no_show,
rpt_25647,booking_id,bkg_492291,investigating,safety_concern,
rpt_57518,booking_id,bkg_951253,pending_review,no_show,
rpt_76820,listing_id,lst_193198,investigating,pricing_dispute,
rpt_65210,listing_id,lst_812685,resolved,low_rating,4
rpt_62610,listing_id,lst_255716,pending_review,low_rating,1
rpt_21400,listing_id,lst_211764,investigating,no_show,
rpt_47436,listing_id,lst_333840,pending_review,low_rating,1
rpt_23518,booking_id,bkg_990333,pending_review,low_rating,2
rpt_39291,listing_id,lst_193198,investigating,no_show,
rpt_39917,listing_id,lst_675304,resolved,safety_concern,
rpt_23069,listing_id,lst_664133,investigating,safety_concern,
rpt_07532,listing_id,lst_891011,resolved,safety_concern,
rpt_53010,booking_id,bkg_985746,pending_review,low_rating,3
rpt_67712,booking_id,bkg_497285,pending_review,no_show,
rpt_63184,booking_id,bkg_517714,resolved,pricing_dispute,
rpt_61137,booking_id,bkg_136082,pending_review,no_show,
rpt_54854,booking_id,bkg_564388,pending_review,no_show,
rpt_63630,booking_id,bkg_953132,resolved,safety_concern,
rpt_12430,listing_id,lst_227746,pending_review,no_show,
rpt_82405,booking_id,bkg_927331,resolved,safety_concern,
